Month_dt,Crime count,month_over_month_change,month_over_month_pct_change
2023-12-01,4405,,
2024-01-01,4714,309.0,7.01
2024-02-01,4594,-120.0,-2.55
2024-03-01,5035,441.0,9.6
2024-04-01,5027,-8.0,-0.16
2024-05-01,5710,683.0,13.59
2024-06-01,5591,-119.0,-2.08
2024-07-01,5335,-256.0,-4.58
2024-08-01,5256,-79.0,-1.48
2024-09-01,4997,-259.0,-4.93
2024-10-01,4995,-2.0,-0.04
2024-11-01,4794,-201.0,-4.02
2024-12-01,4851,57.0,1.19
2025-01-01,4726,-125.0,-2.58
2025-02-01,4406,-320.0,-6.77
2025-03-01,5014,608.0,13.8
2025-04-01,4989,-25.0,-0.5
2025-05-01,5407,418.0,8.38
2025-06-01,5348,-59.0,-1.09
2025-07-01,5723,375.0,7.01
2025-08-01,5069,-654.0,-11.43
2025-09-01,4778,-291.0,-5.74
2025-10-01,5174,396.0,8.29
2025-11-01,4860,-314.0,-6.07
2025-12-01,4509,-351.0,-7.22
